FID,Province,LGU,Barangay,Lat,Long,Z
0,,Binalbagan,San Juan,1131054.662043,483254.768400,
1,Negros Occidental,Binalbagan,San Jose,1127734.116474,488640.491446,5.815759167
2,,Cauayan,Abaca,1097613.792839,456564.162392,
3,,Cauayan,Baclao,1088929.455709,440479.432939,
4,,Cauayan,Poblacion,1100854.205981,459091.900045,
5,,Cauayan,Basak,1097975.646860,453101.296694,
6,,Cauayan,Bulata,1089202.023062,435613.605444,
7,,Cauayan,Caliling,1100608.835319,443451.423707,
8,,Cauayan,Camalanda-an,1091629.676233,447458.541395,
9,,Cauayan,Camindangan,1088751.071133,452470.420370,
10,,Cauayan,Elihan,1087708.663804,433264.317937,
11,,Cauayan,Guiljungan,1099729.070321,464896.182391,
12,,Cauayan,Inayawan,1093769.626641,440090.819876,
13,,Cauayan,Isio,1101803.666774,454196.718917,
14,,Cauayan,Linaon,1099340.406116,440497.231915,
15,,Cauayan,Lumbia,1096413.670340,460327.249006,
16,,Cauayan,Mambugsay,1101234.721286,467226.615500,
17,,Cauayan,Man-Uling,1101464.445959,456435.794178,
18,,Cauayan,Masaling,1101018.027850,447552.357315,
19,,Cauayan,Molobolo,1090105.886702,456044.954789,
20,,Cauayan,Sura,1092544.625409,460252.780851,
21,,Cauayan,Talacdan,1093089.782066,465428.467938,
22,,Cauayan,Tambad,1094764.025928,454612.755602,
23,,Cauayan,Tiling,1100483.347917,461918.096927,
24,,Cauayan,Tomina,1092579.682130,455102.719912,
25,,Cauayan,Tuyom,1101099.818504,450975.348522,
26,,Cauayan,Yao-yao,1096808.088312,446790.200624,
27,,Himamaylan,Aguisan,1123787.283701,485176.834532,
28,,Himamaylan,Saraet,1121917.339931,484975.477951,
29,,Himamaylan,Nabalian,1124387.722811,486939.591790,
30,,Himamaylan,Cabanbanan,1125081.501344,488906.229615,
31,,Himamaylan,Libacao,1124204.365078,490989.383687,
32,,Himamaylan,Talaban,1119963.458572,485819.657516,
33,,Himamaylan,4,1118160.440361,486495.981461,
34,,Himamaylan,3,1116365.495645,488308.363975,
35,,Himamaylan,2,1117339.560846,487385.874522,
36,,Himamaylan,1,1116121.497240,485701.941520,
37,,Himamaylan,Caradio-an,1112757.466146,487073.281544,
38,,Himamaylan,To-oy,1111677.110018,484656.002208,
39,,Himamaylan,Su-ay,1111123.298390,481976.329095,
40,,Himamaylan,Cabadiangan,1121289.521988,493318.790001,
41,,Himamaylan,Carabalan,1111760.801779,496359.220515,
42,Negros Occidental,Hinigaran,Anahaw,1138447.353303,486477.491434,5.853210372
43,Negros Occidental,Hinigaran,Aranda,1132270.053720,494820.028250,12.78409973
44,Negros Occidental,Hinigaran,Barangay I (Pob.),1135898.832182,483815.607661,0.210352901
45,Negros Occidental,Hinigaran,Barangay II (Pob.),1135618.272279,483224.161739,1.100122525
46,Negros Occidental,Hinigaran,Barangay III (Pob.),1135041.983383,483738.560089,2.600047532
47,Negros Occidental,Hinigaran,Barangay IV (Pob.),1135635.721135,483738.834465,1.543547145
48,Negros Occidental,Hinigaran,Bato,1132083.799843,491676.955514,10.04014784
