site,Lat,Long,Z
0,1149362.2648778115,522383.5706227632,598.8
1,1149985.0129240705,520090.23525446554,789.4
2,1148216.7182346596,523933.5531333596,486.2
3,1147578.8804782722,523315.6178137715,473.2
4,1153006.868314306,523031.4554896516,740.4
5,1153284.7614986473,525454.5624726074,604.0
6,1151038.6481826822,524775.509280517,582.7
7,1152194.32553475,522550.1900353122,754.2
8,1147195.2504743803,525573.0919839981,418.3
9,1147128.883228226,527144.002533598,384.7
10,1146610.2105084735,523158.9593021361,404.4
11,1143727.222363595,522542.1030487476,307.0
12,1142101.504021251,523129.54385522066,273.8
13,1141239.9397309048,525776.8291358936,309.8
14,1147099.4461384155,521928.76612429414,431.9
15,1146003.806553562,519842.2839346798,401.2
16,1145098.369715779,518625.4524258854,422.5
17,1149972.9498171683,520070.6491881038,787.0
18,1149491.8524197147,518014.39632313635,922.0
19,1149532.6890432884,518086.61850201804,920.4
20,1149533.161214534,518143.9750997279,911.5
21,1149530.6079553738,518124.3831585585,916.3
22,1149593.7062918672,518056.7043135222,932.4
23,1149602.97422784,518018.82654401846,939.8
24,1149579.0582283535,517953.9294796664,951.8
25,1149397.522990169,518613.30123026617,827.7
26,1149429.2543341143,518610.8761136878,825.9
27,1148174.3551095542,518671.3151722697,663.0
28,1150941.0677807168,520251.7852957906,864.5
29,1150456.2048724361,518416.14959195507,997.8
30,1150267.7382242435,518089.95729721343,1030.7
31,1148145.5231331722,520296.8720660631,536.7
32,1149035.6801089887,519886.857780946,632.2
33,1156177.3886050999,524169.26074553654,705.6
34,1157003.9523604955,523955.0623649006,715.3
35,1153686.2398088926,528447.4264666142,529.9
36,1155683.8408739013,528684.364661854,507.6
37,1158002.4215449807,529179.4854791549,554.9
38,1162090.6666973897,530442.8926442949,581.4
39,1146811.5160192782,529410.3650064588,415.1
40,1149534.5442579603,530027.9373232888,556.6
41,1145091.7804902305,531834.1577313339,94.3
42,1145683.4187667782,533014.6099935229,42.0
43,1144935.1886638363,535581.2005625626,7.3
44,1144356.7978071265,532863.1451056645,64.2
45,1155544.0544387086,540479.1449360577,3.9
46,1154132.4544291545,538372.8503461247,24.6
47,1148041.229859028,537035.7839773374,3.6
48,1150471.6769666928,535924.8211453131,40.2
49,1151910.8607275954,536271.0648244616,37.3
50,1145814.2806655683,535980.7547872502,9.8
51,1142333.6884034635,535734.5002177313,6.9
52,1141168.3369623483,532355.1672778615,289.9
53,1141184.9533833854,535794.9060935181,8.7
54,1140307.6175473845,535811.6789299943,13.7
55,1138352.821642664,535954.706441237,13.4
56,1142214.6186519333,531366.8766592469,48.2
57,1147246.6416637474,536362.5237827484,7.7
58,1140207.5585507173,528599.6804209242,445.0
59,1142243.424991336,528326.6081744255,516.7
60,1153616.526976341,521290.2958824754,948.4
61,1145542.3351180318,525200.5656020892,367.1
62,1156203.273221325,536517.1837528402,236.0
63,1147187.360974511,532900.1043741505,53.9
64,1151561.329377294,529866.6001688525,620.8
65,1153846.7201336133,531924.0928290301,685.7
66,1159421.6779459077,528923.9706650431,527.2
67,1160414.515038751,533372.9495565947,612.9
