Lat,Long,Z
123.204491,10.397437,598.8
123.183543,10.403082,789.4
123.218644,10.387067,486.2
123.212995,10.381302,473.2
123.210432,10.430396,740.4
123.232573,10.432894,604
123.226354,10.412584,582.7
123.20603,10.42305,754.2
123.233615,10.377818,418.3
123.247965,10.377207,384.7
123.211558,10.372542,404.4
123.205906,10.346471,307
123.211262,10.331764,273.8
123.235436,10.323955,309.8
123.200323,10.376974,431.9
123.181257,10.367076,401.2
123.170137,10.358893,422.5
123.183364,10.402973,787
123.164576,10.398632,922
123.165236,10.399001,920.4
123.16576,10.399005,911.5
123.165581,10.398982,916.3
123.164963,10.399553,932.4
123.164617,10.399637,939.8
123.164024,10.399421,951.8
123.170047,10.397776,827.7
123.170025,10.398063,825.9
123.170571,10.386713,663
123.185024,10.411728,864.5
123.168251,10.407352,997.8
123.16527,10.405649,1030.7
123.185421,10.386444,536.7
123.18168,10.394497,632.2
123.220848,10.459064,705.6
123.218896,10.466541,715.3
123.259921,10.436504,529.9
123.262101,10.454569,507.6
123.266643,10.475535,554.9
123.278221,10.5125,581.4
123.268666,10.37432,415.1
123.274329,10.398943,556.6
123.290793,10.358747,94.3
123.301581,10.364088,42
123.325019,10.357298,7.3
123.300186,10.352091,64.2
123.369872,10.453198,3.9
123.350612,10.440453,24.6
123.338336,10.385376,3.6
123.32821,10.407368,40.2
123.331387,10.420381,37.3
123.328677,10.365245,9.8
123.326395,10.333768,6.9
123.295519,10.323258,289.9
123.326936,10.323378,8.7
123.327081,10.315443,13.7
123.328369,10.297762,13.4
123.286501,10.332729,48.2
123.332178,10.378196,7.7
123.261211,10.314598,445
123.258732,10.333013,516.7
123.194527,10.43592,948.4
123.230201,10.362871,367.1
123.333677,10.4592,236
123.300548,10.377691,53.9
123.272871,10.417275,620.8
123.291688,10.437928,685.7
123.264319,10.488373,527.2
123.304984,10.497316,612.9
,,
