FID,Province,LGU,Barangay,Lat,Long,Z,NEAR_FID,NEAR_DIST
0,Negros Occidental,Bacolod City,Punta Taytay,1171663.457,489784.8557,1.445039868,0,0.293667074
1,Negros Occidental,Bacolod City,Felisa,1171361.729,497809.9989,43.64880273,0,0.239785051
2,Negros Occidental,Bacolod City,Cabug,1171677.051,494499.3906,21.58658496,0,0.262097799
3,Negros Occidental,Bago City,Ilijan,1153694.143,509639.9056,757.4330721,0,0.050985874
4,Negros Occidental,Bago City,Binubuhan,1154699.012,501854.8785,140.7695881,0,0.120389438
5,Negros Occidental,Bago City,Don Jorge L. Araneta (Ma-ao Central),1156221.02,495852.6201,41.14421532,0,0.176897045
6,Negros Occidental,Bago City,Sagasa,1156983.491,488732.9965,12.56203882,0,0.241621399
7,Negros Occidental,Bago City,Bagroy,1158285.804,486796.9466,10.4277636,0,0.261642118
8,Negros Occidental,Bago City,Alianza,1157879.868,492237.4276,20.74829598,0,0.212841817
9,Negros Occidental,Bago City,Caridad,1159370.646,488980.6076,15.50607484,0,0.245299862
10,Negros Occidental,Bago City,Pacol,1160213.593,484809.2372,9.517626521,0,0.283928936
11,Negros Occidental,Bago City,Mailum,1157590.235,510295.9605,580.7326384,0,0.071665552
12,Negros Occidental,Bago City,Barrio Ma-ao,1159303.754,499417.0866,61.36522352,0,0.157277394
13,Negros Occidental,Bago City,Atipuluan,1161991.422,495403.3549,30.18129407,0,0.201171902
14,Negros Occidental,Bago City,Malingin,1161201.025,492080.3596,15.85513153,0,0.224927411
15,Negros Occidental,Bago City,Lag-asan,1162350.918,483028.0888,3.798473778,0,0.305524025
16,Negros Occidental,Bago City,Napoles,1162204.604,488053.0565,10.709859,0,0.262274457
17,Negros Occidental,Bago City,Balingasag,1163612.185,484240.8012,4.901464999,0,0.299326699
18,Negros Occidental,Bago City,Abuanan,1164106.496,498646.8435,39.47631089,0,0.187683967
19,Negros Occidental,Bago City,Poblacion,1165101.28,482305.2347,2.316973597,0,0.320887431
20,Negros Occidental,Bago City,Sampinit,1165211.55,484322.9987,3.299706618,0,0.304506305
21,Negros Occidental,Bago City,Busay,1164929.196,488738.7234,10.08543394,0,0.267314704
22,Negros Occidental,Bago City,Bacong-Montilla,1163130.768,504926.4151,94.89946982,0,0.141001666
23,Negros Occidental,Bago City,Calumangan,1167170.511,487970.5348,7.599999905,0,0.283499895
24,Negros Occidental,Bago City,Dulao,1166204.09,495187.7102,27.79779306,0,0.224207153
25,Negros Occidental,Bago City,Tabunan,1169172.414,493817.2402,3.554022017,0,0.25100387
26,Negros Occidental,Bago City,Taloc,1168746.663,490393.1661,6.679577389,0,0.273020203
27,Negros Occidental,Binalbagan,Paglaum (Pob.),1126402.297,485473.6192,1.865132922,0,0.345284954
28,Negros Occidental,Binalbagan,Marina (Pob.),1129515.851,485522.0123,2.509848925,0,0.32758861
29,Negros Occidental,Binalbagan,San Juan (Pob.),1131662.262,483390.8472,2.565045034,0,0.332965567
30,Negros Occidental,Binalbagan,Enclaro,1125888.497,483934.9384,1.870696423,0,0.359086736
31,Negros Occidental,Binalbagan,Progreso (Pob.),1128329.686,484892.4808,2.750729477,0,0.338598324
32,Negros Occidental,Binalbagan,San Jose,1127824.046,488599.5773,5.815759167,0,0.315250619
33,Negros Occidental,Binalbagan,Santo Rosario (Pob.),1126218.308,484730.2481,2.285082203,0,0.351573979
34,Negros Occidental,Binalbagan,Bagroy,1127679.936,493513.675,10.39626346,0,0.284122736
35,Negros Occidental,Binalbagan,Payao,1124395.312,495197.3595,26.9468196,0,0.297361985
36,Negros Occidental,Binalbagan,Canmoros (Pob.),1129035.713,483136.5399,0,0,0.347865196
37,Negros Occidental,Binalbagan,San Pedro (Pob.),1128148.241,484235.152,2.370700726,0,0.344385552
38,Negros Occidental,Binalbagan,San Vicente (Pob.),1127766.145,485965.3925,3.862951345,0,0.333996387
39,Negros Occidental,Binalbagan,San Teodoro (Pob.),1127171.495,485489.9147,2.243322581,0,0.340751312
40,Negros Occidental,Himamaylan City,Sara-et,1121926.387,484962.7888,1.830909225,0,0.375865687
41,Negros Occidental,Himamaylan City,Aguisan,1123849.136,485118.5461,1.733922529,0,0.362913402
42,Negros Occidental,Himamaylan City,Nabali-an,1124676.771,486831.5782,1.659213511,0,0.346348571
43,Negros Occidental,Himamaylan City,Cabanbanan,1124891.557,488988.4921,9.307289114,0,0.330878475
44,Negros Occidental,Himamaylan City,Libacao,1124242.191,491136.3283,19.61672885,0,0.321756973
45,Negros Occidental,Hinigaran,Palayog,1129401.202,489613.1461,8.259492698,0,0.298910024
46,Negros Occidental,Hinigaran,Cambugsa,1130049.793,487051.7335,1.96457616,0,0.313490763
47,Negros Occidental,Hinigaran,Quiwi,1131638.518,486623.5208,8.789695948,0,0.308292809
48,Negros Occidental,Hinigaran,Paticui,1131672.942,489426.8013,4.471829529,0,0.287337654
49,Negros Occidental,Hinigaran,Bato,1131483.361,491930.3083,10.04014784,0,0.270591564
50,Negros Occidental,Hinigaran,Pilar,1132647.295,484776.3315,3.095758555,0,0.317526025
51,Negros Occidental,Hinigaran,Aranda,1132494.334,495280.9368,12.78409973,0,0.24171336
52,Negros Occidental,Hinigaran,Tagda,1134221.898,483384.8808,2.109013537,0,0.321539895
53,Negros Occidental,Hinigaran,Barangay III (Pob.),1134930.054,483941.2945,2.600047532,0,0.314067769
54,Negros Occidental,Hinigaran,Barangay IV (Pob.),1135630.413,483749.8939,1.543547145,0,0.312778189
55,Negros Occidental,Hinigaran,Barangay II (Pob.),1135706.541,483244.5202,1.100122525,0,0.316628419
56,Negros Occidental,Hinigaran,Barangay I (Pob.),1135894.991,483877.0271,0.210352901,0,0.310685583
57,Negros Occidental,Hinigaran,Narauis,1133744.059,487386.0319,0.769914427,0,0.292035109
58,Negros Occidental,Hinigaran,Candumarao,1134611.069,493584.2544,37.81402762,0,0.24103847
59,Negros Occidental,Hinigaran,Nanunga,1135464.082,485581.7714,3.058520348,0,0.298553002
60,Negros Occidental,Hinigaran,Himaya,1134929.676,489158.9765,29.21623049,0,0.27262264
61,Negros Occidental,Hinigaran,Calapi,1136201.559,497306.0506,25.36301385,0,0.205551199
62,Negros Occidental,Hinigaran,Gargato,1137400.715,484355.0898,4.243285727,0,0.300996234
63,Negros Occidental,Hinigaran,Camalobalo,1137189.35,494744.8052,37.48682266,0,0.218737039
64,Negros Occidental,Hinigaran,Anahaw,1138629.032,486529.0001,5.853210372,0,0.278352593
65,Negros Occidental,Hinigaran,Baga-as,1138595.102,492606.1659,77.56987186,0,0.228655614
66,Negros Occidental,Hinigaran,Tuguis,1138086.81,489838.6319,40.56009379,0,0.253115283
67,Negros Occidental,Hinigaran,Camba-og,1140801.032,486335.2612,11.01789576,0,0.272801971
68,Negros Occidental,Hinigaran,Miranda,1140527.033,484450.8008,7.625312083,0,0.289872973
69,Negros Occidental,Isabela,Makilignit,1123825.272,511664.9495,612.0071867,0,0.246110746
70,Negros Occidental,Isabela,Cansalongon,1123247.84,502623.7125,155.2841317,0,0.272428991
71,Negros Occidental,Isabela,Mansablay,1125732.239,501574.7611,53.27182187,0,0.256232764
72,Negros Occidental,Isabela,Camangcamang,1124880.657,498324.7639,28.27552548,0,0.277662389
73,Negros Occidental,Isabela,Banogbanog,1125631.625,512149.3882,434.466886,0,0.229416325
74,Negros Occidental,Isabela,Barangay 1 (Pob.),1127297.297,498514.2598,18.65417188,0,0.258428754
75,Negros Occidental,Isabela,Barangay 8 (Pob.),1127366.298,499312.8144,23.49106969,0,0.253861769
76,Negros Occidental,Isabela,Barangay 2 (Pob.),1127810.031,498184.152,20.88695045,0,0.256352644
77,Negros Occidental,Isabela,Barangay 6 (Pob.),1128136.475,499036.2057,20.69179669,0,0.249473907
78,Negros Occidental,Isabela,Barangay 9 (Pob.),1127695.012,500350.9988,21.38537663,0,0.246278008
79,Negros Occidental,Isabela,Barangay 7 (Pob.),1128184.722,499924.5242,22.55315638,0,0.244611858
80,Negros Occidental,Isabela,Riverside,1125312.388,509083.8197,519.2737719,0,0.236505752
81,Negros Occidental,Isabela,Barangay 3 (Pob.),1128483.128,498471.4154,19.59115941,0,0.249877424
82,Negros Occidental,Isabela,Barangay 4 (Pob.),1128309.376,498734.668,20.56552729,0,0.249761268
83,Negros Occidental,Isabela,San Agustin,1125720.534,505756.6736,106.3339964,0,0.241162188
84,Negros Occidental,Isabela,Sikatuna,1127131.096,514249.1612,504.30904,0,0.214875195
85,Negros Occidental,Isabela,Limalima,1127855.582,510326.6587,197.0169212,0,0.21173787
86,Negros Occidental,Isabela,Cabcab,1128137.714,507528.0545,148.9268676,0,0.215334145
87,Negros Occidental,Isabela,Sebucawan,1129197.742,511978.0204,297.2977475,0,0.197499639
88,Negros Occidental,Isabela,Guintubhan,1128711.034,494883.1994,12.54542226,0,0.268821289
89,Negros Occidental,Isabela,Amin,1129987.155,507243.5393,43.38857236,0,0.200254713
90,Negros Occidental,Isabela,Barangay 5 (Pob.),1129749.664,499936.5485,16.77661769,0,0.232796525
91,Negros Occidental,Isabela,Maytubig,1128551.951,502044.4803,18.18291218,0,0.231752411
92,Negros Occidental,Isabela,Libas,1130401.796,509401.1374,97.78661956,0,0.191001712
93,Negros Occidental,Isabela,Camp Clark,1130877.498,507977.3999,57.6348321,0,0.190476672
94,Negros Occidental,Isabela,Rumirang,1130003.491,496453.3822,13.87093003,0,0.250570165
95,Negros Occidental,Isabela,Panaquiao,1131562.59,505829.1151,28.0032093,0,0.191814311
96,Negros Occidental,Isabela,Tinongan,1130477.186,503808.1707,22.8288104,0,0.208753786
97,Negros Occidental,Isabela,Bungahin,1132724.365,501492.0378,21.12727857,0,0.202631639
98,Negros Occidental,Isabela,Bulad,1133053.466,499187.0641,18.04386509,0,0.213374962
99,Negros Occidental,La Carlota City,Roberto S. Benedicto (Consuelo),1149436.1,491985.582,20.04987033,0,0.205925514
100,Negros Occidental,La Carlota City,Nagasi,1148467.486,495722.4216,48.00545677,0,0.172756923
101,Negros Occidental,La Carlota City,Yubo,1149636.572,507850.7075,517.8208501,0,0.061611315
102,Negros Occidental,La Carlota City,Haguimit,1149476.518,502042.6586,186.3368019,0,0.114339943
103,Negros Occidental,La Carlota City,La Granja,1149898.922,498464.4701,100.4571395,0,0.146589537
104,Negros Occidental,La Carlota City,Barangay III (Pob.),1151818.755,491084.5247,17.42993524,0,0.213911624
105,Negros Occidental,La Carlota City,Ara-al,1151366.184,508579.6774,766.4886979,0,0.054077808
106,Negros Occidental,La Carlota City,Barangay I (Pob.),1152524.815,491737.3157,22.8478522,0,0.208310682
107,Negros Occidental,La Carlota City,Cubay,1151398.21,494311.6782,43.85447656,0,0.184318311
108,Negros Occidental,La Carlota City,Barangay II (Pob.),1153005.133,491547.7452,21.4820303,0,0.210390617
109,Negros Occidental,La Carlota City,San Miguel,1151836.576,499870.049,113.1432884,0,0.133754186
110,Negros Occidental,La Carlota City,Balabag,1153290.522,498202.6478,77.64811783,0,0.150294933
111,Negros Occidental,La Carlota City,Batuan,1151817.204,489945.6437,13.2828296,0,0.224308561
112,Negros Occidental,La Carlota City,Ayungon,1155084.471,491413.6971,18.83464336,0,0.214138995
113,Negros Occidental,La Castellana,Lalagsan,1137589.636,501839.4142,33.8401152,0,0.166725614
114,Negros Occidental,La Castellana,Talaptap,1137701.902,498982.1337,39.54991249,0,0.185101413
115,Negros Occidental,La Castellana,Nato,1139653.246,497850.7115,35.10136796,0,0.182752959
116,Negros Occidental,La Castellana,Puso,1141256.627,517840.2733,332.6502555,0,0.092358391
